Gene,4721,4945,4715,4718,4524,4722,4716,4717
RYR1,27.20555115,23.5217247,27.21465683,27.40551758,27.23981667,24.36663437,26.91262245,25.58208466
DES,28.03349113,27.37782478,28.0479641,27.28841591,28.17178726,27.38467407,28.11490631,27.94078064
AKR1B1,30.75429916,30.64915848,30.80839157,30.78308296,30.77721596,30.4900856,30.38494301,30.48759651
ATP1B1,29.77332115,29.74313545,29.54692268,29.77539635,29.66028786,29.58459282,29.67047119,29.40924644
RPS28,28.06620026,27.97961998,27.99015617,28.24022675,28.11897087,28.06286049,28.34418106,28.24866486
TPM3,32.02749252,32.13959122,32.06303787,32.01780319,32.01028824,31.96526718,31.96667671,31.6971035
RPS29,26.99107552,27.04061508,26.65799141,26.66952515,26.2153244,25.44871902,23.34126282,25.83942032
RPS17,29.54736328,29.73587799,29.72173882,29.65297508,29.48845863,29.42372131,29.59972763,29.76395226
EIF1B,24.94864464,25.62742233,25.34465408,25.20037651,25.14887619,25.0367012,25.35470963,25.39574623
RPL32,28.13613892,29.06396484,28.14165497,28.07816315,27.65417099,27.00281715,27.56565285,28.68869209
RPL11,24.72920227,28.84023094,28.85349846,28.85682678,28.44343948,24.37874222,28.13902283,28.70859337
MAOA,29.3562603,29.34948349,29.07719421,29.29180145,29.41035843,29.35129738,29.52842903,29.52170563
EPHX2,27.91170883,27.50476074,27.70872498,27.66329575,27.53756714,26.85863495,27.30303955,26.84481621
GDI2,31.06560898,31.15279388,31.184412,31.12330627,31.06676483,31.02181244,30.89749718,30.89374161
CYB5A,29.86839867,29.77867317,29.81825638,29.6486969,29.68972588,29.53665924,29.54148674,29.57464981
FBN1,30.20408249,30.01132011,29.84484673,29.46730995,30.43599129,30.5298996,31.13375282,30.35258102
CCS,23.95162773,24.37510872,24.91838837,24.76172256,24.76233101,25.0142746,24.53800964,24.64635468
LGALS1,29.84246635,29.80299568,29.71507454,29.40098572,30.43956184,29.41062164,29.96856689,29.40545654
RNF114,26.08375168,25.89293671,26.0726738,25.83419609,26.30857086,26.54127884,25.66277885,26.27909279
APOC3,27.31544495,26.68324661,25.82057953,26.79116631,26.411623,28.22894287,27.13310432,26.71567917
FABP4,27.54921913,27.58963776,26.91843414,26.91125107,29.40163803,29.58663368,29.74885559,29.03580093
DSTN,29.14085197,29.244133,29.2606926,29.14197159,29.21904945,29.02683449,29.06092834,29.21101761
ATP6V1A,31.38355255,31.48927116,31.59801483,31.60461235,31.46182823,31.6454277,31.8080864,31.7478714
CFL1,32.09719849,32.06702042,32.16755295,32.07546234,32.23785782,32.06152725,31.94076729,31.97835159
PREP,28.26333618,28.11137772,28.40657234,28.35766602,28.15860748,28.18068123,28.19629288,28.10634422
DDX39B,30.83499908,30.80770111,30.95705414,30.8413868,30.89713669,30.97172165,30.90942001,30.88132286
ALB,37.54121017,37.32805634,37.29507065,37.47145462,37.27299881,37.56084061,37.26034927,37.52240372
ANXA2,31.87371635,32.01225281,31.86562729,31.62422752,31.54000854,31.08385277,31.28906631,31.23797226
GBA,28.2920208,28.17030716,28.1897583,28.22154045,28.63096809,28.43563271,28.35846329,28.38269806
COX5B,28.85412407,29.00809097,28.92518616,28.79921722,28.9446125,28.71868706,28.77740288,28.7266674
HSPB1,30.88022804,30.59405899,30.53528786,30.86186218,30.9814167,30.97773743,31.07648087,31.24450874
PRNP,27.88396072,27.34840775,27.57333183,27.50370026,27.6036396,27.67188835,28.25862694,27.89180183
SAR1B,27.4510479,27.49548912,27.43364525,27.36594582,26.85019302,27.10828972,27.27097321,27.20340538
RDX,27.56768608,26.6031456,27.34544945,26.63256264,26.91957092,26.54629326,26.93066597,26.3528595
ACBD3,28.0065136,28.07734871,28.00763512,27.99609566,27.84158134,27.99695778,27.61505508,27.86212921
STMN1,29.06843185,28.91496086,29.1940155,29.10196877,29.3431015,29.59356117,29.93072319,29.6443367
LAMP1,27.23772049,27.19046402,27.08760071,27.07530975,27.40064049,27.17006874,27.79952621,27.38582611
HEBP1,27.79228401,27.62617111,27.96587181,27.84810448,27.90357208,27.79042053,27.64780426,27.63374138
AHCY,31.289011,31.24892426,31.16716385,31.15629387,31.33878326,31.40542603,31.2130928,31.07794571
SCG2,34.36260986,33.98472977,34.15391159,34.36417389,34.26010132,34.50556946,34.67419434,34.7585144
GUCY1B1,23.54839706,23.55555153,23.60557747,24.03829384,23.70967293,23.65709114,24.4758358,23.67476082
H1-2,26.60045433,30.15725899,28.66509247,26.43053818,27.40405655,26.68565369,27.2753315,29.63872147
ARL1,27.61932945,27.68217468,27.55808067,27.65068436,27.50301743,27.62491608,27.62303352,27.67317009
ARL3,28.48631096,28.50642776,28.56627083,28.69461441,28.53166771,28.63446808,28.51878357,28.62655258
SAR1A,29.94962883,30.30671692,30.31926346,30.23203468,29.72626114,29.90454865,30.04531097,29.97254372
RAB1A,28.18980408,28.17540932,28.23402405,28.14695549,28.03642845,28.10259438,28.16086769,28.09123802
RBP1,27.13887596,27.35068512,27.55946732,27.48876381,27.76603889,27.59832573,27.59995651,27.0326519
NAMPT,26.15100861,26.07159042,26.365345,25.88327217,26.47450829,26.33265305,26.51083946,24.36870193
SPARC,27.56289101,27.57809067,27.12996483,27.80094719,26.03271484,27.4718132,26.89365387,24.17593575
OAS2,25.59917641,25.26270103,25.81755829,24.4542923,26.69670486,24.53312302,25.17120171,25.84864235
FADD,25.15236282,25.68696404,25.81467628,25.63458633,25.83925247,25.59391594,25.32295799,25.51192474
RAB27A,29.46025658,29.53795433,29.34163857,29.37953949,29.96788025,30.50161362,30.54480553,30.46109581
