"Gene","mean_Control","mean_GHR-KO","sd_Control","sd_GHR-KO","Cohens.d_genotype","mean_Female","mean_Male","sd_Female","sd_Male","Cohens.d_sex","anova_p_val_genotype","anova_p_val_sex","anova_p_val_genotype:sex","adjusted_p_val_genotype","adjusted_p_val_sex","adjusted_p_val_genotype:sex","4721","4945","4715","4718","4524","4722","4716","4717","THSD_pair"
"ABCE1",27.5646109575,27.75653219,0.178759103351745,0.100502606151716,1.3235067245668,27.57339668,27.7477464675,0.199025826545021,0.0820665500137581,1.14532664060319,0.0915057115465579,0.114964675653292,0.591811752731002,0.445642584524785,0.490377512517965,0.849242625248909,27.60816002,27.78106689,27.8154335,27.82146835,27.60236549,27.30199432,27.68679047,27.66729355,NA
"ABCF1",25.7738327975,25.88681841,0.142890812760686,0.16105696990786,0.742129786068826,25.83149147,25.8291597375,0.176423881315864,0.154073425566478,-0.0140782918713271,0.305248769181602,0.981819136040573,0.134007863725426,0.683725768699378,0.994736853779943,0.522867897972394,26.00088501,25.95544434,25.64814758,25.94279671,25.62873077,25.74090576,25.75498772,25.97070694,NA
"ABHD10",26.7534670825,26.7497191425,0.150926299653721,0.359867643232152,-0.0135825479682074,26.834739685,26.66844654,0.242148051289806,0.274265469602013,-0.642788996209622,0.975120237568337,0.214947621270654,0.0266394036149089,0.992744550898442,0.614531656773447,0.260710540026242,26.93842697,27.11426163,26.29010582,26.65608215,26.56067657,26.72559357,26.91877556,26.80882263,NA
"ABHD11",25.0411872875,25.8038163175,0.889210795345942,0.0906263906240489,1.20664544851572,25.2276988025,25.6173048025,1.00803864780197,0.263262607580429,0.52885412927104,0.178753050629028,0.45222140733489,0.429183210141302,0.576472778608494,0.771491787996423,0.757819508053562,25.80030441,25.82921982,25.90182495,25.68391609,25.55426407,23.72700691,25.2672596,25.61621857,NA
"ABHD14A",25.77107811,25.1412177075,0.276606788324014,0.736438577491352,-1.13231046460151,25.2934985175,25.6187973,0.834775984091638,0.340497727808233,0.510279773784794,0.198615309086609,0.471181745137161,0.393938298772829,0.596337701155699,0.781812907306222,0.73869318081357,25.5030632,24.06350327,25.30117416,25.6971302,25.72275734,25.88467026,26.06414604,25.4127388,NA
"ABHD14B",29.091845515,28.78076601,0.486259296461239,0.423090292607496,-0.682535408376881,28.947679045,28.92493248,0.562246377260869,0.404352830860871,-0.0464495147661866,0.418255520413913,0.950600757115492,0.329544196560227,0.749297531162289,0.986898826232812,0.700272243610461,28.55384064,29.41314507,28.53667831,28.61940002,29.44760323,28.37612724,29.21824265,29.32540894,NA
"ABHD16A",26.7549462325,26.6135482775,0.0778221669478066,0.180674835699275,-1.01649303230112,26.64954853,26.71894598,0.160603646172449,0.151737949001933,0.444190025637569,0.258572194555523,0.553583627205417,0.478402544080034,0.652084866956467,0.830072162707027,0.787144966946612,26.46751213,26.60625458,26.51021957,26.87020683,26.67006683,26.85436058,26.76976395,26.72559357,NA
"ABHD6",24.725387095,25.1198811525,0.570880715402564,0.293559551552052,0.869087773536054,24.9389157275,24.90635252,0.477608460085518,0.535738393553677,-0.0641631480466551,0.371974047670988,0.937902252274664,0.978796871890136,0.725157410786387,0.982617387852603,0.993682135891432,24.77540207,25.48581886,25.0556488,25.16265488,25.12471008,24.3697319,25.29126549,24.11584091,NA
"ABI2",24.512821675,24.1594390875,0.903048388564027,0.892566964658353,-0.393599404869902,23.7779879575,24.894272805,0.829658644461573,0.419956712552333,1.69768856946346,0.533903691766195,0.0982479757690482,0.591917132989662,0.819723861834747,0.460974744249389,0.849245427044926,24.67782784,22.82717514,24.65348816,24.47926521,23.38517761,24.22177124,25.01741219,25.42692566,NA
"ABR",26.68993473,26.498899935,0.0649155535034076,0.0988642370358611,-2.2842681204944,26.53654003,26.652294635,0.138579326860395,0.10089951849694,0.95497246871815,0.0106895736355952,0.0520928270994453,0.651175372477295,0.173638825929179,0.360957133597929,0.88202668471397,26.50152969,26.35987854,26.58563232,26.54855919,26.60512543,26.67962646,26.75773621,26.71725082,NA
